data,localidade,mortos,feridos,motivo,link,fonte
07/01,"Serrinha, Madureira",-,-,confronto,http://oglobo.globo.com/rio/cadela-vitima-de-bala-perdida-em-confronto-na-serrinha-20742625,imprensa
07/01,"Rua Visconde Rio Branco, Niteroi",1,-,briga,http://g1.globo.com/rio-de-janeiro/noticia/homem-e-morto-em-hotel-em-niteroi-rj-apos-reclamar-de-barulho.ghtml,imprensa
10/01,Manguinhos,-,-,operação,http://oglobo.globo.com/rio/cao-baleado-em-tiroteio-no-jacare-20753397,imprensa
10/01,Bento Ribeiro,-,2,bala perdida,http://bandnewsfmrio.com.br/editorias-detalhes/primas-sao-baleadas-em-bento-ribeiro,imprensa
17/01,"Morro dos Prazeres, Santa Teresa",1,-,ataque,http://g1.globo.com/rio-de-janeiro/noticia/morre-adolescente-baleada-durante-tiroteio-no-morro-dos-prazeres-no-rio.ghtml,imprensa
21/01,"Av Monsenhor Felix, Irajá",1,-,bala perdida,http://g1.globo.com/rio-de-janeiro/noticia/crianca-de-2-anos-morre-apos-ser-atingida-por-bala-perdida-na-zona-norte-do-rio.ghtml,imprensa
22/01,"Comunidade da Carobinha, Campo Grande",3,15,confronto,http://extra.globo.com/casos-de-policia/anjo-de-bondade-diz-mae-de-entregador-morto-por-bala-perdida-em-guerra-de-traficantes-no-rio-20812925.html,imprensa
24/01,Rua Tenente Coronel Cunha,-,1,assalto,http://extra.globo.com/casos-de-policia/dois-pms-sao-baleados-na-zona-oeste-do-rio-um-deles-voltava-de-festa-com-familia-20823516.html,imprensa
24/01,"Rua General Vossio Brigido, Pça Seca",-,1,assalto,http://odia.ig.com.br/rio-de-janeiro/2017-01-25/policial-militar-e-baleado-quando-chegava-em-casa-na-praca-seca.html,imprensa
25/01,"Ladeira dos Tabajaras, Copa",-,-,confronto,http://oglobo.globo.com/rio/traficantes-pms-trocam-tiros-na-ladeira-dos-tabajaras-20823100,imprensa
