uf,municipio,pessoas
RJ,Angra dos Reis,188276
RJ,Aperibé,11023
RJ,Araruama,122865
RJ,Areal,11970
RJ,Armação dos Búzios,31067
RJ,Arraial do Cabo,29097
RJ,Barra do Piraí,96865
RJ,Barra Mansa,179915
RJ,Belford Roxo,481127
RJ,Bom Jardim,26278
RJ,Bom Jesus do Itabapoana,35964
RJ,Cabo Frio,208451
RJ,Cachoeiras de Macacu,56290
RJ,Cambuci,14836
RJ,Campos dos Goytacazes,483970
RJ,Cantagalo,19759
RJ,Carapebus,15008
RJ,Cardoso Moreira,12558
RJ,Carmo,18200
RJ,Casimiro de Abreu,40305
RJ,Comendador Levy Gasparian,8250
RJ,Conceição de Macabu,22163
RJ,Cordeiro,21063
RJ,Duas Barras,11121
RJ,Duque de Caxias,882729
RJ,Engenheiro Paulo de Frontin,13626
RJ,Guapimirim,56515
RJ,Iguaba Grande,25901
RJ,Itaboraí,229007
RJ,Itaguaí,119143
RJ,Italva,14569
RJ,Itaocara,22779
RJ,Itaperuna,99021
RJ,Itatiaia,30240
RJ,Japeri,99863
RJ,Laje do Muriaé,7298
RJ,Macaé,234628
RJ,Macuco,5398
RJ,Magé,234809
RJ,Mangaratiba,40779
RJ,Maricá,146549
RJ,Mendes,18099
RJ,Mesquita,170751
RJ,Miguel Pereira,24842
RJ,Miracema,26665
RJ,Natividade,15013
RJ,Nilópolis,158309
RJ,Niterói,496696
RJ,Nova Friburgo,184786
RJ,Nova Iguaçu,807492
RJ,Paracambi,49521
RJ,Paraíba do Sul,42356
RJ,Paraty,40478
RJ,Paty do Alferes,26818
RJ,Petrópolis,298142
RJ,Pinheiral,23887
RJ,Piraí,27838
RJ,Porciúncula,18059
RJ,Porto Real,18266
RJ,Quatis,13543
RJ,Queimados,143632
RJ,Quissamã,22700
RJ,Resende,125214
RJ,Rio Bonito,57615
RJ,Rio Claro,17826
RJ,Rio das Flores,8892
RJ,Rio das Ostras,131976
RJ,Rio de Janeiro,6476631
RJ,Santa Maria Madalena,10225
RJ,Santo Antônio de Pádua,41178
RJ,São Fidélis,37703
RJ,São Francisco de Itabapoana,41291
RJ,São Gonçalo,1038081
RJ,São João da Barra,34583
RJ,São João de Meriti,460625
RJ,São José de Ubá,7206
RJ,São José do Vale do Rio Preto,20916
RJ,São Pedro da Aldeia,96920
RJ,São Sebastião do Alto,9054
RJ,Sapucaia,17606
RJ,Saquarema,82359
RJ,Seropédica,82892
RJ,Silva Jardim,21307
RJ,Sumidouro,15127
RJ,Tanguá,32426
RJ,Teresópolis,173060
RJ,Trajano de Moraes,10350
RJ,Três Rios,79264
RJ,Valença,73725
RJ,Varre-Sai,10402
RJ,Vassouras,35432
RJ,Volta Redonda,262970
